Jam_Operasi,Suhu_Motor,Getaran,Tekanan_Oli,Arus_Listrik,Umur_Sisa_Mesin
7770,76.92,3.66,2.77,8.54,1935.07
1360,82.86,2.61,2.48,8.49,1997.03
5890,78.05,3.47,3.02,10.96,1912.03
5691,79.3,1.35,3.8,7.62,1838.49
6234,70.4,2.64,2.82,9.35,1943.79
6765,70.11,2.62,3.75,7.68,2031.39
966,72.67,2.0,4.06,9.28,1945.37
4926,77.34,2.75,2.52,7.5,1923.32
6078,67.17,3.73,3.0,9.15,1879.45
8822,71.22,1.94,4.05,9.46,1942.8
2185,66.9,3.27,2.94,5.87,1916.18
1269,71.16,1.6,3.02,10.2,2006.12
7449,57.49,4.19,2.16,7.67,1884.49
2933,96.06,3.13,2.73,7.06,1952.83
5811,62.67,3.88,3.28,6.58,1927.12
5551,66.39,3.04,4.21,8.6,2010.4
6920,61.81,2.81,2.9,7.99,1947.1
1684,76.16,3.13,2.17,8.74,2013.66
5055,68.04,2.39,2.3,8.78,1939.22
3885,60.36,1.21,2.98,9.22,1940.01
6896,76.57,2.86,3.59,13.55,1913.19
9166,77.92,1.9,3.32,8.08,1877.24
9774,69.33,1.62,3.23,6.53,1945.48
3058,63.36,3.01,3.65,3.96,1917.49
8349,91.91,2.28,2.64,5.61,1921.77
2547,73.4,3.32,3.01,10.47,1981.72
3247,57.26,1.87,2.74,9.44,2027.73
9667,84.14,2.12,2.86,5.3,1921.74
689,61.44,3.42,2.5,12.93,1989.69
3234,97.42,2.72,2.83,8.65,1970.78
3505,70.8,1.32,2.99,8.92,1928.12
5158,80.13,2.71,2.81,12.49,2028.9
2399,49.2,3.68,2.92,11.48,1914.65
8234,57.16,2.12,3.2,9.56,1927.69
1767,83.34,2.98,3.62,9.66,2016.72
2028,73.18,1.82,3.66,9.85,2022.82
4056,90.42,2.39,3.38,7.52,1936.84
4390,74.85,3.37,2.37,8.57,1980.15
9338,71.45,2.68,2.82,9.15,1899.19
5893,87.14,3.53,2.86,7.75,1896.4
9292,80.1,2.84,2.67,6.07,1850.91
8933,68.04,4.27,3.17,7.47,1944.9
8013,59.06,1.25,2.2,6.02,1972.8
3112,46.28,2.33,3.85,8.13,1926.02
7541,65.62,1.63,3.6,4.44,1948.4
6735,58.14,1.69,3.24,8.68,2066.44
5986,95.98,1.69,2.97,4.74,1988.99
7599,63.5,2.63,3.61,7.19,1881.17
1275,63.22,2.68,3.34,9.01,2004.5
8726,54.79,2.84,3.55,9.58,1873.62
3652,67.34,1.6,2.97,9.34,1800.71
2085,63.35,2.24,3.89,8.64,1953.17
4443,87.38,1.73,3.58,5.76,2019.6
8055,71.68,3.25,3.25,9.96,1983.4
3573,69.91,1.8,3.63,5.81,1969.57
1521,68.65,2.33,2.79,10.19,1923.36
4343,77.86,2.95,2.42,9.26,1955.45
8489,65.48,2.01,3.16,10.72,1904.64
7373,76.67,3.06,2.97,8.05,1893.02
6175,86.14,3.78,2.9,6.36,1973.74
661,74.6,2.65,3.61,5.41,1933.87
4797,67.5,3.22,3.08,5.64,1993.73
1495,60.47,0.84,3.13,4.73,1939.74
8129,67.25,2.16,2.84,9.88,2022.16
9967,75.63,2.65,3.44,10.13,1823.88
1516,54.67,1.66,3.35,9.11,1912.92
8369,78.32,2.67,3.44,7.93,1908.53
6939,72.08,3.35,2.75,12.12,1815.05
8392,68.51,1.0,3.65,7.8,1799.54
7363,63.41,1.55,3.92,8.44,1832.82
8416,65.24,2.65,3.42,7.9,1905.48
9029,75.97,2.87,2.6,7.32,1898.6
1378,68.72,3.09,2.6,9.26,1965.0
9768,64.99,2.59,2.81,6.73,1904.39
5387,74.69,2.87,2.72,6.6,1946.82
